Athlete,Event,Time,Placement,Meet,Date
Ludwikowski Rachel,3000S,DNF, ,New England Outdoor Championship - NEICAAA,May 10-11  2019
Ludwikowski Rachel,3000S,10:51.57,9th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Ludwikowski Rachel,3000S,10:46.33,9th  (F),2019 Larry Ellis Invitational,Apr 20  2019
Ludwikowski Rachel,1500,4:39.30,3rd  (F),University of MA Minuteman Invitational,Apr 6  2019
Ludwikowski Rachel,3000S,10:49.11,3rd  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Ludwikowski Rachel,3000,10:00.65,16th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Ludwikowski Rachel,4x880 yd,9:00.30,4th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Ludwikowski Rachel,3000,9:40.15,35th  (F),Boston University David Hemery Valentine Invitational,Feb 8-9  2019
Ludwikowski Rachel,3000,9:54.32,24th  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Ludwikowski Rachel,Mile,5:00.93,4th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Ludwikowski Rachel,3000,10:02.10,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Ludwikowski Rachel,3K,10:19.3,9th,16th Annual CCSU Mini Meet,Oct 19  2018
Ludwikowski Rachel,5K,19:49.6,96th,NEICAAA Cross Country Championship,Oct 6  2018
Ludwikowski Rachel,5K,18:54.8,88th,Coast-to-Coast Battle in Beantown,Sep 21  2018
Ludwikowski Rachel,6K,22:50.5,19th,2018 Maribel Sanchez Souther XC Invitational,Sep 8  2018
Ludwikowski Rachel,6K,22:38.4,59th,Ivy League Heptagonal Cross Country Championships,Oct 27  2017
Ludwikowski Rachel,3K,10:19.5,3rd,15th Annual CCSU Mini Meet,Oct 20  2017
Ludwikowski Rachel,5K,18:46.9,31st,NEICAAA Cross Country Championship,Oct 7  2017
Ludwikowski Rachel,5K,18:31.6,80th,Coast-To-Coast Battle in Beantown,Sep 22  2017
Ludwikowski Rachel,6K,23:02.2,15th,2017 Maribel Sanchez Souther XC Invitational,Sep 9  2017
McNally Bridget,200,25.13,7th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
McNally Bridget,100,12.19w,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
McNally Bridget,200,24.88,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
McNally Bridget,LJ,5.75m,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
McNally Bridget,100,12.36,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
McNally Bridget,200,25.24w,1st  (F),UNH Wildcat Pre-Conference,Apr 24  2021
McNally Bridget,LJ,5.44m,6th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Robitaille Corinne,1500,4:33.74,9th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Robitaille Corinne,1500,4:37.92,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Robitaille Corinne,4x400,3:56.56,1st  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Robitaille Corinne,1500,4:37.38,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Robitaille Corinne,4x400,4:06.31,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Robitaille Corinne,Mile,5:12.26,7th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Robitaille Corinne,Mile,4:58.13,63rd  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Robitaille Corinne,1000,2:56.40,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Robitaille Corinne,Mile,5:03.40,10th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Robitaille Corinne,Mile,5:06.23,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Robitaille Corinne,4x800,DNF, ,Dartmouth vs Columbia vs Yale,Jan 18  2020
Robitaille Corinne,3000,10:32.40,8th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Robitaille Corinne,4x400,4:30.61,10th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Robitaille Corinne,6K,22:55.6,58th,Ivy League Heptagonal Cross Country Championships,Nov 1  2019
Robitaille Corinne,5K,18:35.6,26th,2019 NEICAAA Cross Country Championship Meet,Oct 12  2019
Robitaille Corinne,6K,21:45.9,165th,Lehigh Paul Short Run (College),Oct 5  2019
Robitaille Corinne,5K,18:57.4,88th,Coast-to-Coast Battle in Beantown,Sep 20  2019
Robitaille Corinne,6K,22:55.3,8th,2019 Maribel Sanchez Souther X-C Invitational,Sep 7  2019
Robitaille Julia,1500,4:53.22,7th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Robitaille Julia,4x400,4:11.33,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Robitaille Julia,5K,DNS, ,Coast-to-Coast Battle in Beantown,Sep 20  2019
Ross Lauren,PV,3.30m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Ross Lauren,PV,3.65m,8th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Ross Lauren,PV,3.75m,2nd  (F),14th Giegengack Invitational,Feb 15  2020
Ross Lauren,PV,3.50m,7th  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Ross Lauren,PV,3.55m,6th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Ross Lauren,PV,3.55m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Ross Lauren,PV,3.55m,3rd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Ross Lauren,PV,3.45m,4th  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Ross Lauren,PV,3.35m,9th  (F),Crimson Opener,Dec 7  2019
Shapiro Natalie,1500,4:36.13,12th  (F),IC4A/ECAC Outdoor Track & Field Championships,May 14-16  2021
Shapiro Natalie,1500,4:40.46,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Shapiro Natalie,4x400,4:11.33,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Shapiro Natalie,1500,4:36.93,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Shapiro Natalie,4x400,4:06.31,2nd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Stevens Samantha,SP,12.74m,3rd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Stevens Samantha,DT,36.55m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Stevens Samantha,HT,41.69m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Stevens Samantha,SP,12.50m,3rd  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Stevens Samantha,DT,34.99m,9th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Stevens Samantha,SP,13.35m,8th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Stevens Samantha,SP,12.79m,7th  (F),14th Giegengack Invitational,Feb 15  2020
Stevens Samantha,SP,12.72m,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Stevens Samantha,SP,12.70m,9th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Stevens Samantha,SP,12.04m,5th  (F),UNH vs Maine vs Vermont vs Dartmouth,Jan 25  2020
Stevens Samantha,SP,12.57m,5th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Stevens Samantha,SP,11.30m,10th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Stevens Samantha,SP,11.60m,6th  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Stevens Samantha,SP,11.68m,15th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Stevens Samantha,SP,12.02m,4th  (F),Fastrack National Invite,Feb 8  2019
Stevens Samantha,SP,12.14m,14th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Stevens Samantha,SP,11.69m,4th  (F),UNH vs Maine vs Vermont vs Dartmouth,Jan 26  2019
Stevens Samantha,SP,10.91m,7th  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Stevens Samantha,SP,12.61m,4th  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Stevens Samantha,SP,11.13m,14th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Stevens Samantha,SP,12.87m,9th  (F),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Stevens Samantha,SP,12.27m,13th  (F),Ivy League Outdoor Track & Field Championships,May 5-6  2018
Stevens Samantha,SP,12.06m,8th  (F),UMASS Pre-Conference,Apr 28  2018
Stevens Samantha,SP,12.67m,11th  (F),Virginia Challenge,Apr 20-21  2018
Stevens Samantha,SP,12.60m,4th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Stevens Samantha,DT,34.43m,8th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Stevens Samantha,SP,13.17m,2nd  (F),2018 Mark Young Invitational,Apr 7  2018
Stevens Samantha,DT,35.89m,5th  (F),2018 Mark Young Invitational,Apr 7  2018
Stevens Samantha,SP,FOUL, ,FSU Relays (College),Mar 23  2018
Stevens Samantha,DT,36.98m,12th  (F),FSU Relays (College),Mar 23  2018
Stevens Samantha,HT,36.66m,10th  (F),FSU Relays (College),Mar 23  2018
Stevens Samantha,SP,11.99m,21st  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Stevens Samantha,DT,38.08m,21st  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Stevens Samantha,HT,36.20m,28th  (F),UCF Black and Gold Challenge,Mar 16-17  2018
Stevens Samantha,SP,12.53m,13th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Stevens Samantha,SP,11.65m,21st  (F),Fastrack National Invite,Feb 9  2018
Stevens Samantha,WT,13.94m,19th  (F),Fastrack National Invite,Feb 9  2018
Stevens Samantha,SP,12.56m,12th  (F),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Stevens Samantha,SP,12.56m,1st  (F),University of New Hampshire Home Meet,Jan 27  2018
Stevens Samantha,WT,14.74m,5th  (F),University of New Hampshire Home Meet,Jan 27  2018
Stevens Samantha,SP,12.64m,1st  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Stevens Samantha,WT,14.76m,4th  (F),Dartmouth vs Columbia vs Yale,Jan 20  2018
Stevens Samantha,SP,12.03m,3rd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Stevens Samantha,WT,13.10m,7th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Stevens Samantha,SP,11.95m,11th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Stevens Samantha,WT,14.06m,14th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Stevens Samantha,SP,12.39m,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Stevens Samantha,WT,14.91m,7th  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Tatum Jamie,SP,12.26m,5th  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Tatum Jamie,DT,40.20m,2nd  (F),2021 Dartmouth Outdoor Invitational,May 7  2021
Tatum Jamie,SP,10.94m,11th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Tatum Jamie,DT,37.28m,6th  (F),UNH Wildcat Pre-Conference,Apr 24  2021
Tatum Jamie,SP,13.03m,12th  (F),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Tatum Jamie,SP,13.08m,4th  (F),14th Giegengack Invitational,Feb 15  2020
Tatum Jamie,SP,12.56m,3rd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Tatum Jamie,SP,FOUL, ,NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Tatum Jamie,SP,13.21m,2nd  (F),UNH vs Maine vs Vermont vs Dartmouth,Jan 25  2020
Tatum Jamie,SP,13.17m,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Tatum Jamie,SP,12.65m,2nd  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Tatum Jamie,SP,13.49m,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Tatum Jamie,SP,12.68m,8th  (F),Crimson Opener,Dec 7  2019
Walter Caroline,400,1:00.55,17th  (P),Ivy League Indoor Track & Field Championship,Feb 29 - Mar 1  2020
Walter Caroline,400,57.45,46th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Walter Caroline,4x400,3:49.59,11th  (F),2020 BU David Hemery Valentine Invitational,Feb 14-15  2020
Walter Caroline,400,58.88,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Walter Caroline,4x400,3:58.92,2nd  (F),2020 Dartmouth Indoor Invitational,Feb 8  2020
Walter Caroline,400,59.03,14th  (P),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Walter Caroline,4x400,3:55.58,6th  (F),NEICAAA Indoor Track & Field Championship,Jan 31 - Feb 1  2020
Walter Caroline,500,1:18.72,33rd  (F),Boston University John Thomas Terrier Classic,Jan 24-25  2020
Walter Caroline,400,59.27,3rd  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Walter Caroline,4x400,4:00.48,4th  (F),Dartmouth vs Columbia vs Yale,Jan 18  2020
Walter Caroline,400,1:00.70,6th  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Walter Caroline,4x400,3:58.77,1st  (F),2020 Dartmouth Relays - College & Open,Jan 10  2020
Walter Caroline,400,1:01.17,5th  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Walter Caroline,4x400,4:01.45,1st  (F),Dartmouth vs Maine vs Vermont,Dec 13-14  2019
Walter Caroline,400,55.94,1st  (F),New England Outdoor Championship - NEICAAA,May 10-11  2019
Walter Caroline,400,56.08,2nd  (P),New England Outdoor Championship - NEICAAA,May 10-11  2019
Walter Caroline,400,56.44,13th  (P),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Walter Caroline,4x400,3:49.69,7th  (F),Ivy League Outdoor Track & Field Championships,May 4-5  2019
Walter Caroline,400,56.48,6th  (F),Virginia Challenge,Apr 19-20  2019
Walter Caroline,200,25.28,2nd  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Walter Caroline,400,56.68,1st  (F),2019 Dartmouth Outdoor Invitational,Apr 12  2019
Walter Caroline,400,56.54,4th  (F),University of MA Minuteman Invitational,Apr 6  2019
Walter Caroline,200,25.72,38th  (F),North Florida Spring Break Invitational,Mar 21-22  2019
Walter Caroline,400,58.05,12th  (F),Yellow Jacket Invitational,Mar 15-16  2019
Walter Caroline,400,56.96,9th  (P),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Walter Caroline,4x440 yd,3:46.77,4th  (F),Ivy League Indoor Track & Field Championship,Feb 23-24  2019
Walter Caroline,400,57.83,8th  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Walter Caroline,400,57.12,5th  (P),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Walter Caroline,4x400,3:48.85,2nd  (F),NEICAAA Indoor Track & Field Championships,Feb 1-2  2019
Walter Caroline,400,57.74,23rd  (F),Boston University John Thomas Terrier Classic,Jan 25-26  2019
Walter Caroline,400,56.95,1st  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Walter Caroline,4x400,3:50.42,2nd  (F),Dartmouth-Yale-Columbia,Jan 18  2019
Walter Caroline,400,58.41,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Walter Caroline,4x400,3:55.03,1st  (F),2019 Dartmouth Relays - COLLEGE and OPEN,Jan 13  2019
Walter Caroline,400,59.07,1st  (F),Dartmouth v UNH v Maine v Vermont,Dec 8  2018
Walter Caroline,400,59.01,5th  (F),Boston University / Sharon Colyear-Danville Season Opener,Dec 1  2018
Walter Caroline,400,59.04,24th  (P),NEICAAA Outdoor Track & Field Championships,May 11-12  2018
Walter Caroline,400,59.50,3rd  (F),George Davis Invitational,Apr 21  2018
Walter Caroline,200,27.22,8th  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Walter Caroline,4x400,3:56.37,1st  (F),2018 Dartmouth Outdoor Invitational,Apr 13  2018
Walter Caroline,400,1:00.34,18th  (P),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Walter Caroline,4x400,3:51.88,7th  (F),Ivy League Indoor Track & Field Championships,Feb 24-25  2018
Walter Caroline,400,58.07,52nd  (F),Boston University David Hemery Valentine Invitational,Feb 9-10  2018
Walter Caroline,400,59.82,24th  (P),NEICAAA Indoor Track & Field Championships,Feb 2-3  2018
Walter Caroline,400,59.23,36th  (F),Boston University John Thomas Terrier Classic,Jan 26-27  2018
Walter Caroline,400,1:00.11,4th  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Walter Caroline,4x400,4:06.09,2nd  (F),Dartmouth vs Vermont vs Brown vs Maine,Jan 13  2018
Walter Caroline,400,1:00.65,9th  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Walter Caroline,4x400,3:59.87,1st  (F),2018 Dartmouth Relays - College & Open,Jan 7  2018
Walter Caroline,400,1:01.04,8th  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Walter Caroline,4x400,3:59.64,1st  (F),Dartmouth vs UNH vs Maine vs Vermont,Dec 8-9  2017
Walter Caroline,400,1:00.08,13th  (F),Boston University Season Opener,Dec 2  2017
